ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,45104 10 45358 13 45613 14 45869 15 46124 15 46379 16 46636 14 46892 13 47149 11 47406 9
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50025 6 50278 11 50532 14 50787 15 51043 16 51297 18 51553 18 51809 18 52064 19 52320 19 52576 18 52832 18 53088 17 53344 17 53601 15 53858 12 54115 10
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10892 7 11147 9 11401 12 11656 13 11911 14 12166 15 12421 15 12677 15 12933 14 13189 14 13444 14 13700 13 13957 12 14213 10 14470 8 14727 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,30877 5 31132 7 31375 6 31386 10 31629 23 31883 26 32138 26 32393 27 32648 27 32903 28 33159 27 33415 23 33671 21 33926 21 34182 20 34438 19 34694 18 34951 16 35207 15 35464 12 35721 10
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50840 7 51095 9 51350 11 51605 12 51860 13 52115 14 52370 14 52626 14 52881 14 53137 14 53392 14 53648 13 53903 13 54160 11 54416 10 54673 8 54930 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38564 6 38818 9 39072 11 39327 12 39582 13 39838 13 40093 14 40349 14 40605 14 40861 13 41117 13 41373 12 41630 11 41886 10 42143 7 42401 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,49827 1 50345 6 50864 7 51383 10 51902 11 52420 15 52940 15 53459 24 53978 26 54497 27 55016 27 55535 28 56054 29 56573 29 57092 29 57611 30 58130 30 58649 30 59168 30 59688 29 60207 29 60726 29 61246 28 61767 27 62286 27 62804 28 63323 29 63843 28 64362 28 64881 28 65401 27 65921 26 66439 27 66957 29 67476 30 67995 31 68515 30 69035 29 69557 1 69563 21 70084 20 70602 22 71120 24 71641 23 72164 20 72679 26 73198 27 73723 22 74243 22 74762 25 75282 28 75805 29 76326 29 76845 30 77365 30 77886 29 78406 29 78926 28 79446 27 79967 26 80488 24 81008 22 81529 20 82050 19 82569 19 83087 20 83606 20 84126 19 84645 18 85163 19 85682 19 86202 18 86721 18 87240 18 87759 18 88278 18 88797 18 89316 18 89835 18 90355 17 90874 17 91393 18 91912 18 92432 18 92952 18 93471 19 93990 19 94511 19 95030 20 95549 20 96069 20 96589 20 97109 20 97628 21 98148 21 98668 20 99187 21 99706 21 100226 20 100747 20 101266 21 101786 20 102306 20 102827 20 103346 21 103865 21 104385 21 104905 21 105425 20 105945 19 106465 19 106986 18 107505 19 108025 19 108545 19 109065 19 109585 19 110105 18 110626 18 111147 18 111666 19 112185 21 112705 21 113226 20 113746 20 114266 20 114786 20 115307 18 115826 19 116345 20 116865 20 117385 19 117905 18 118425 17 118945 17 119465 17 119985 16 120505 15 121025 16 121545 16 122065 15 122585 15 123105 15 123625 15 124145 14 124665 13 125185 13 125705 13 126224 14 126744 15 127264 18 127288 9 127783 35 128301 37 128819 39 129337 41 129857 40 130379 36 130904 26
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,121449 1 121967 5 122486 6 123005 7 123524 7 124043 7 124561 8 125080 9 125599 9 126118 9 126637 9 127156 9 127675 10 128195 8 128714 7 129233 7 129753 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24934 12 25450 18 25968 20 26486 21 27004 22 27522 23 28040 24 28558 25 29077 25 29596 25 30114 25 30632 26 31150 27 31669 27 32187 27 32706 26 33225 25 33744 25 34263 24 34782 24 35302 22 35821 22 36341 20 36860 19 37380 17 37900 14 38421 10
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,89286 2 89805 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,91362 2 91882 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,94480 3 94999 7 95517 10 96036 11 96555 11 97074 12 97593 12 98113 11 98632 12 99151 12 99671 11 100190 12 100709 12 101229 12 101748 14 102267 15 102786 16 103306 16 103825 17 104345 17 104865 17 105385 17 105906 16 106426 15 106946 15 107467 14 107988 13 108511 11 109030 13 109551 12 110071 12 110592 11 111112 11 111632 11 112153 10 112672 11 113191 12 113711 11 114230 12 114750 11 115270 10 115790 10 116309 10 116830 9 117349 9 117870 7 118390 7 118909 7 119429 6 119949 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,119400 7 119919 9 120437 12 120956 12 121475 13 121994 13 122513 13 123032 13 123551 13 124070 14 124589 14 125108 14 125627 14 126145 15 126664 15 127183 16 127702 16 128222 15 128741 15 129260 14 129781 11 130302 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,6278 7 6794 14 7312 16 7830 18 8348 21 8867 22 9386 22 9415 10 9904 25 9930 16 10423 43 10941 45 11460 45 11979 45 12498 46 13017 46 13536 47 14055 47 14574 48 15093 48 15612 48 16131 25 16161 18 16650 23 16681 17 17169 22 17200 17 17688 22 17720 17 18207 21 18239 17 18726 21 18759 16 19245 21 19278 16 19764 20 19798 15 20283 20 20317 16 20802 20 20836 16 21321 20 21356 15 21840 19 21875 16 22359 19 22394 16 22879 18 22914 14 23400 15 23434 12 23921 11 23955 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,28088 6 28605 12 29122 16 29640 19 30158 21 30676 23 31194 24 31712 25 32231 25 32750 25 33268 26 33787 25 34305 25 34824 24 35343 23 35862 23 36380 23 36899 22 37418 21 37937 20 38455 21 38974 20 39493 20 40012 19 40532 16 41052 14 41573 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,46266 13 46783 17 47300 20 47818 22 48337 23 48855 25 49373 26 49892 26 50411 26 50929 27 51448 27 51967 27 52487 25 53006 24 53526 22 54046 20 54566 18 55088 13
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,123070 2 123589 3 124109 2 124630 3 125150 5 125669 6 126188 8 126707 10 127227 10 127747 11 128266 13 128786 13 129304 17 129824 16 130345 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,62891 7 63408 11 63925 14 64443 16 64961 17 65480 18 65998 20 66517 20 67035 22 67554 22 68072 23 68591 23 69110 24 69628 24 70147 24 70666 25 71185 25 71704 24 72223 24 72742 24 73261 24 73780 24 74300 23 74819 23 75338 23 75858 21 76378 19 76897 19 77417 17 77936 17 78455 17 78975 15 79494 15 80015 12 80535 9 81058 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,607 4 1123 9 1641 10 2161 9 2681 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,93029 2 93544 11 94062 14 94580 17 95098 18 95617 19 96136 20 96654 22 97173 22 97693 21 98212 22 98730 23 99250 22 99769 22 100288 23 100807 23 101326 23 101846 23 102365 23 102884 23 103404 22 103923 22 104443 21 104963 20 105483 19 106003 17 106524 14 107046 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,21431 2 21947 10 22465 12 22983 15 23501 17 24020 18 24521 1 24538 19 25036 12 25055 22 25555 42 26073 43 26592 44 27110 45 27629 45 28148 45 28667 45 29186 46 29705 46 30224 46 30744 45 31263 45 31782 45 32301 45 32820 45 33339 45 33859 43 34379 42 34899 39 35418 25 35446 9 35938 20 36458 18 36978 15 37498 13 38019 10 38541 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,49963 3 50477 12 50994 15 51512 17 52030 18 52548 20 53065 22 53584 22 54102 23 54621 23 55140 23 55658 24 56176 24 56694 25 57213 25 57732 24 58250 25 58769 25 59288 25 59807 24 60326 23 60845 23 61364 22 61883 21 62402 21 62921 21 63440 21 63959 21 64479 19 64998 19 65518 17 66039 14 66560 10 67083 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,132 13 648 21 1165 24 1684 24 2203 24 2722 24 3242 23 3762 21 4281 21 4801 20 5321 19 5840 19 6359 19 6879 17 7400 14 7921 11 8443 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,112250 8 112764 17 113281 22 113798 26 114316 28 114834 30 115353 31 115872 32 116391 32 116910 32 117429 33 117948 33 118467 33 118986 33 119506 31 120025 31 120546 29 121066 26 121586 24 122107 20 122628 14
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,81148 4 81665 8 82182 12 82700 14 83219 15 83737 17 84255 18 84773 20 85292 20 85811 20 86330 20 86849 20 87368 20 87887 20 88405 22 88924 22 89441 24 89956 27 90466 36 90983 37 91500 38 92018 36 92537 34 93055 34 93574 33 94093 32 94611 32 95130 32 95650 30 96169 30 96688 30 97207 30 97727 29 98246 28 98765 28 99285 27 99804 27 100324 25 100844 23 101364 21 101885 19 102406 16 102926 14 103448 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,689 12 1206 16 1725 16 2244 17 2763 17 3284 16 3804 15 4323 14 4843 14 5362 15 5881 15 6400 16 6920 15 7440 14 7959 14 8478 14 8998 13 9517 13 10037 12 10556 11 11077 8 11599 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,57275 2 57789 12 58306 16 58823 19 59342 20 59860 21 60379 21 60898 22 61416 23 61934 23 62453 23 62972 23 63491 23 64009 24 64528 24 65047 24 65566 23 66085 22 66606 18 67127 15 67649 9 68173 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,89995 11 90512 14 91029 17 91548 19 92066 21 92585 21 93104 21 93623 22 94142 22 94662 22 95181 23 95700 23 96219 24 96738 24 97257 24 97776 25 98295 25 98814 25 99334 24 99853 24 100373 23 100893 22 101412 22 101932 21 102451 21 102971 19 103491 18 104012 16 104532 14 105053 11 105577 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,36031 8 36547 13 37065 15 37584 16 38103 17 38621 19 39140 19 39658 20 40177 21 40695 21 41214 21 41732 21 42251 21 42770 21 43289 20 43808 20 44327 20 44846 19 45365 19 45884 17 46404 15 46924 13 47446 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,63020 6 63536 11 64053 15 64572 15 65090 17 65608 18 66126 20 66645 20 67164 20 67683 20 68201 21 68720 21 69239 21 69758 21 70277 21 70796 21 71315 21 71834 21 72353 21 72872 21 73391 21 73910 21 74429 21 74948 20 75467 20 75986 20 76505 20 77024 20 77543 20 78062 20 78581 19 79100 19 79619 19 80138 19 80657 19 81177 17 81697 15 82217 14 82737 12 83257 10
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,237 13 748 24 1265 28 1783 29 2301 30 2820 30 3340 29 3860 27 4379 27 4899 26 5418 26 5938 25 6457 26 6976 26 7496 24 8015 24 8535 22 9054 22 9573 21 10092 21 10611 21 11130 21 11650 19 12169 18 12688 17 13209 14 13729 11 14251 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,113918 2 114432 10 114949 14 115466 18 115985 18 116503 20 117020 22 117538 23 118057 23 118575 24 119093 25 119610 27 120129 27 120647 28 121164 30 121682 31 122201 31 122720 31 123238 33 123756 36 124275 39 124794 42 125312 45 125831 47 126351 47 126870 47 127389 48 127909 48 128429 47 128949 46 129469 45 129991 42 130516 35 131048 20
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,29308 9 29826 13 30343 16 30862 17 31381 19 31900 19 32419 20 32938 20 33458 20 33977 21 34497 21 35016 21 35535 22 36054 22 36573 22 37093 21 37612 21 38131 21 38650 20 39169 20 39689 19 40209 17 40729 15 41250 12 41772 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,84848 9 85365 13 85883 16 86401 18 86919 19 87437 21 87956 22 88475 23 88994 23 89514 22 90033 23 90553 22 91072 22 91592 21 92111 21 92630 21 93150 20 93669 20 94190 17 94710 16 95230 13 95753 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,53205 9 53720 17 54237 21 54755 24 55273 26 55790 29 56309 30 56828 31 57346 33 57865 33 58384 33 58903 33 59422 34 59940 35 60459 35 60979 34 61498 34 62017 34 62537 32 63056 32 63576 31 64096 30 64617 27 65137 24 65658 21 66180 16 66702 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,23652 3 24166 11 24683 16 25201 19 25718 22 26236 24 26754 25 27272 27 27790 28 28308 29 28826 31 29345 31 29864 30 30383 30 30902 30 31421 30 31939 31 32458 31 32977 30 33497 29 34016 28 34535 28 35054 28 35573 27 36093 26 36614 23 37133 22 37653 20 38173 17 38694 14 39218 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,80215 11 80733 14 81251 17 81769 19 82288 20 82807 21 83327 22 83847 22 84366 23 84886 23 85405 24 85924 24 86443 24 86962 24 87482 23 88001 23 88521 22 89041 20 89561 18 90081 15 90603 10
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,113967 11 114485 14 115003 16 115520 19 116039 20 116557 23 117076 24 117595 24 118114 25 118632 26 119151 27 119670 28 120189 29 120708 29 121227 30 121746 30 122266 29 122786 28 123306 27 123826 26 124347 23 124868 21 125388 20 125908 18 126429 15 126948 15 127467 14 127985 15 128503 16 129021 17 129540 18 130059 18 130578 17 131099 13
