ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,45103 11 45359 12 45613 14 45869 14 46125 14 46381 14 46637 13 46893 12 47150 10 47407 8
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50027 1 50278 10 50533 12 50787 15 51043 15 51298 17 51553 18 51809 18 52065 18 52320 18 52576 17 52832 17 53088 17 53345 15 53601 14 53859 10 54115 8
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10891 8 11146 9 11400 12 11655 14 11910 15 12166 14 12421 15 12677 14 12933 14 13189 14 13445 13 13701 12 13957 11 14213 10 14471 6 14728 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,30878 1 31133 4 31376 6 31388 6 31631 8 31643 8 31884 13 31899 8 32139 15 32155 8 32393 26 32648 27 32904 19 32926 3 33159 20 33415 20 33671 20 33927 19 34183 18 34439 17 34695 16 34951 14 35208 12 35466 7 35723 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50841 6 51096 8 51350 11 51605 12 51859 14 52115 14 52371 13 52626 13 52881 14 53137 14 53393 12 53648 13 53904 12 54160 11 54417 9 54673 8
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38563 6 38819 7 39072 11 39327 12 39581 14 39837 14 40093 14 40349 14 40605 13 40861 13 41118 11 41374 11 41631 9 41887 8 42145 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,47232 1 47750 2 48269 3 48788 3 49307 3 49324 7 49826 4 49841 11 50345 6 50360 12 50864 6 50879 13 51383 7 51397 15 51902 7 51916 16 52421 7 52435 17 52940 8 52952 19 53458 32 53977 33 54496 33 55015 33 55534 34 56054 34 56573 34 57092 35 57611 35 58130 35 58649 36 59168 36 59687 36 60206 36 60725 36 61244 36 61763 36 62282 36 62801 36 63321 34 63840 33 64359 32 64878 31 65397 31 65916 31 66435 31 66954 31 67472 33 67991 34 68510 36 69029 37 69548 37 70067 38 70586 39 71106 38 71157 3 71625 39 71676 3 72144 40 72195 6 72664 40 72715 5 73185 39 73236 4 73704 40 73753 6 74224 39 74271 8 74743 40 74789 10 75262 44 75307 13 75781 59 76300 59 76819 60 77338 60 77857 61 78375 63 78894 63 79412 64 79930 65 80448 66 80967 66 81487 66 82006 66 82526 65 83045 65 83565 64 84085 63 84605 63 85124 63 85644 62 86163 62 86683 61 87202 60 87722 59 88241 58 88761 56 89280 55 89800 54 90319 53 90839 52 91358 52 91472 2 91877 53 91987 10 92396 53 92505 13 92916 53 93023 16 93435 54 93541 18 93955 54 94059 20 94474 55 94578 21 94994 56 95096 23 95513 58 95615 24 96033 59 96134 24 96553 59 96653 24 97072 60 97172 24 97592 60 97691 25 98111 60 98210 25 98631 60 98729 26 99150 60 99249 26 99670 60 99768 26 100189 61 100287 27 100708 61 100806 27 101228 61 101325 27 101747 62 101844 28 102266 63 102364 27 102786 63 102883 27 103306 62 103403 27 103825 63 103922 27 104345 63 104441 27 104866 61 104961 26 105386 61 105480 26 105906 61 106000 26 106427 59 106520 25 106948 58 107041 23 107469 56 107562 22 107989 56 108082 21 108510 55 108603 25 109030 55 109125 27 109550 54 109647 26 110070 54 110167 27 110590 54 110686 28 111110 54 111205 28 111630 55 111723 30 112150 55 112242 31 112670 56 112759 34 113190 56 113277 35 113709 57 113796 35 114229 58 114314 36 114749 57 114833 37 115269 57 115352 37 115788 57 115871 37 116308 57 116389 38 116828 57 116908 38 117347 57 117426 39 117867 57 117945 39 118387 56 118464 39 118907 56 118983 39 119426 56 119502 39 119946 56 120021 38 120465 56 120540 38 120985 56 121059 37 121505 56 121579 36 122024 57 122099 34 122544 57 122619 32 123063 58 123141 28 123582 58 123665 22 124102 58 124180 25 124622 58 124692 14 124712 10 125142 57 125210 16 125663 56 125729 16 126184 56 126247 17 126705 55 126766 18 127224 56 127285 18 127744 56 127803 19 128264 55 128323 19 128784 55 128841 20 129304 77 129824 76 130346 72 130873 61
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,116778 4 117297 5 117815 6 118334 6 118853 6 119372 6 119891 6 120410 6 120929 6 121448 7 121967 7 122486 7 123005 7 123524 7 124043 7 124561 9 125080 9 125599 9 126118 9 126637 9 127156 9 127675 9 128194 9 128713 9 129233 8 129752 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,6 12 522 18 1040 19 1560 17 2080 13 2600 11 3120 8 3641 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,41008 1 41525 4 42043 5 42562 5 43080 6 43599 6 44118 5 44638 4
