ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,44848 8 45103 11 45357 14 45612 15 45868 15 46124 15 46379 16 46636 14 46892 13 47149 11 47406 8
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,28248 2 28504 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,49771 1 50023 8 50277 12 50531 15 50786 16 51041 18 51296 19 51552 19 51808 19 52063 19 52319 19 52575 19 52831 19 53088 17 53344 17 53601 15 53858 12 54116 9
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10638 3 10890 9 11144 12 11399 14 11654 15 11909 16 12165 16 12421 15 12676 16 12932 16 13188 15 13444 14 13700 14 13956 13 14213 11 14470 8 14729 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,30622 1 30876 6 31131 7 31375 9 31386 9 31627 24 31882 25 32137 26 32392 27 32647 28 32902 28 33158 21 33182 3 33414 21 33670 21 33926 21 34182 20 34438 19 34694 18 34951 15 35207 14 35465 11 35723 7
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50588 1 50840 8 51094 10 51349 12 51604 13 51859 14 52114 14 52370 14 52625 15 52880 15 53136 15 53392 14 53647 14 53903 13 54160 11 54416 10 54673 8 54932 1
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38309 3 38563 7 38817 10 39071 12 39326 13 39581 14 39837 14 40092 15 40348 15 40604 15 40861 13 41117 13 41373 12 41630 11 41886 10 42143 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,47231 4 47749 6 48268 7 48787 8 49306 8 49329 1 49825 8 49844 8 50344 9 50362 10 50863 9 50879 13 51382 10 51398 13 51901 10 51917 14 52420 11 52434 17 52939 32 53458 32 53977 33 54496 34 55015 34 55534 35 56053 35 56572 35 57091 36 57610 36 58129 36 58648 36 59167 36 59686 36 60205 36 60724 36 61243 36 61762 36 62282 35 62801 35 63320 34 63839 34 64358 34 64877 33 65396 33 65915 33 66434 34 66953 34 67472 35 67991 36 68510 37 69029 38 69548 38 70068 38 70586 40 71105 40 71624 41 72144 42 72662 43 73181 44 73700 44 74219 45 74275 3 74738 46 74790 8 75257 62 75776 64 76295 64 76814 65 77333 66 77852 66 78371 66 78890 67 79409 67 79928 67 80447 67 80966 68 81485 68 82004 68 82524 67 83043 67 83562 67 84081 67 84601 66 85121 65 85640 65 86159 65 86678 65 87198 63 87717 63 88236 63 88754 64 89277 59 89796 59 90316 58 90835 58 91355 57 91874 57 92394 57 92913 58 93433 57 93953 57 94473 58 94992 59 95512 60 96031 61 96551 61 97070 62 97590 62 98109 63 98629 62 99148 62 99667 63 100186 64 100706 64 101225 65 101744 66 102264 65 102783 66 103303 66 103823 65 104342 67 104861 67 105381 66 105901 66 106421 67 106941 67 107460 67 107983 64 108505 61 109025 61 109545 61 110067 59 110588 59 111108 60 111627 61 112147 62 112667 62 113187 62 113708 61 114227 62 114748 61 115267 61 115787 60 116307 60 116827 59 117346 60 117866 59 118385 61 118905 60 119425 60 119944 60 120464 59 120984 60 121503 61 122023 60 122542 61 123062 61 123581 61 124100 62 124620 62 125140 61 125215 6 125659 62 125731 11 126181 60 126249 13 126701 30 126736 27 126764 18 127222 23 127259 42 127741 19 127782 39 128261 17 128303 37 128780 15 128826 33 129299 14 129348 31 129818 13 129869 29 130340 7 130390 27 130915 20
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,118334 4 118852 6 119371 6 119890 7 120409 7 120928 8 121447 8 121966 8 122485 8 123004 8 123523 9 124042 9 124561 9 125080 9 125599 10 126118 9 126637 10 127156 9 127675 9 128194 9 128713 9 129232 8 129751 8 130271 5 130793 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,5 7 522 10 1041 10 1564 3
